Тема,label
"Утром опять завис и рестартнул контейнер аттачей (PRB0001007). После того, как контейнер поднялся не забирается почта. прошу СРОЧНО проверить и запустить сбор почты",10
Задержка в выборке писем из ящика после простоев,10
Проблема с отображением Related Tickets,10
"Некорректное отображение кнопок UI-action на форме портала. (Слипшиеся, не отображаются кнопки, настроенные на Вверху Справа)",6
GRPC Server is unavailable,10
"Некорректное назначение ролей пользователям группы, если роль установлена для группы",10
После деплоя перестали приходить пароли в CI Home,10
Не удаётся кастомизировать логотип на админском портале,10
В листовом представлении доступен переход в статусы без учета правил переходов,10
Не отрабатывает fixedCondition в listitems,10
Пользователи в Employee и Users,10
Виджет для ITSM 1.7,10
При обновлении до версии 1.16.0 слетел префикс инстанса,7
Некорректно работает смена логотипа на распределенном инстансе,5
Система хранит пароли в открытом виде в ENV,10
Проблема с импортом пользователей из AD через LDAP,10
Мониторинг PRTG,10
"При условии advanced во флоу, процесс уходит ВСЕГДА по ветке false",10
Не редактируется Inbound Action,10
проблема с работой prod,0
"Не запускается скрипт по расписанию с частотой запуска ""Ежедневно""",10
Некорректное отображение статей при поиске на портале,10
Не редактируется поле Filter таблицы ts_table,8
Не отображаются картинки,10
"Запрос закрыт без понимания о чем он был, прошу переоткрыть",10
Инстенс: demo Ошибка при настройки формы представления модели каталога услуг,6
Строка поиска на портале,10
Не удаляется таблицы,10
"В дополнение к INC0005622, т.к. не могу добавить коммент (ошибка Property `itsm_incident.out_of_service` not exist!)  Большая задержка по отправке уведомлений по  (отправка уведомлений и тд)",10
не отрабатывает эвенты,10
404 ошибка при переходе по ссылке из меню CMDB - Service Model,10
Не корректная работа тега htmlEditor,0
Ошибка при загрузке большого справочника,1
"Запрос по API позволяет вытянуть данные, которые закрыты ACL",10
"IX - после обновления платформы, не работает ACL для table api",7
Не загрузить локальный пакет объемом 124786 записей,10
" Статус Import Set-о = обработан, но загрузка трансформируемых строк в целевую таблицу останавливается на 165 строке",10
При загрузке файла Excel размером 47 390 строк появляется ошибка ,1
Некорректная работа механизма отката локальных пакетов,0
Не доступно отображение колонки Абонент для таблицы Запросов на совершенствование продуктов,10
"Не слить пакеты, ошибка ""an internal server error occurred.""",10
Closed at не заполнен атрибут (закрыто в). ,10
проблема с работой prod,0
Новатек: ошибка AuthorizationHeaderMalformed при обращении к s3 бэкэндом,1
Ошибка после попытки настройки проброса портов postgres,1
Проблема со скоростью работы портала prod,0
"При условии, что Scripted REST API стоит Is Authentication Required==false Cистема пытается авторизоваться, если в хедер придет Authorization кей",10
Закрытие модального окна при любом при любом случайной клике вне этого окна,10
Ошибка создания записей в таблице sys_number,1
knowledge_agent не может создавать статью в своей категории,10
В пользовательском телеграм боте некорректная ссылка на обращение,0
"Не включить логирование у таблиц ""Организация"" и дочерних от нее",10
Неверный токен при смене пароля,10
Не применяется брендинг в интерфейсе специалистов,10
"При работе с тегом list нет возможности ""Выбрать все"", так же при переходе на другую страницу выбранные элементы сбрасываются.",0
Ошибка Cannot read properties of null (reading 'columnId'),1
"Статья внешней спецификации ""описание запроса"" для подачи PIR предлагает добавить вложения",10
Не импортируется часть пользователей,10
"Не корректная работа опции конструктора условий ""Сегодня"".",0
Технологии доверия: проблемы с работой прода.,0
"В продолжение закрытого обращения 

INC0005491 INQ Обращение после обработки выподают к статус не из списка (0)",11
Проблемы с событиями,10
Пользователь получил ошибочное email-уведомление,10
Настройка SSO через Keycloak по SAML,10
Отключить OOB business rule Generate Name for CI или нумерацию,10
Не отображаются связанные объекты,10
Не срабатывают правила АСЛ при заполнении референсных полей,8
Авторизация по логину в SSO через Keycloak по SAML,10
Ошибка при загрузке и применении локальных пакетов.,10
Портал. Каталог услуг. Проблема с клиентскими скриптами.,10
"Ошибка валидации типа prorerty ""sys_updated_at"", field is read-only ",1
"s_form.refreshUiActions()
Метод не работает, либо не понятно как им пользоваться.",5
Не могу обновить Request  - State,10
автоназначение ,10
Не отображается логотип в агентском интерфейсе,10
автоназначение ,10
Не отображаются некоторые картинки на портале,10
RE: Доступ к порталу SimpleOne. НЕ СРАБАТЫВАЕТ СБРОС ПАРОЛЯ.,3
Ошибка при сортировке в списке,11
Пользователю портала без роли доступно создание записей в справочниках,10
Инстэнс: demo Не переводится вкладка в Activity feed,10
Дополнительная гибкость при настройке видимости Articles и KB Categories,10
Базовая авторизация для кастомного API,10
INTSK0000399 не находится в глобальном поиске,10
"Кнопа ""Сохранить и выйти"" не сохраняет комментарии. ",10
Не срабатывают правила ACL при настройке отчетов,10
Инстэнс: s1.ru Некорректный тип атрибута,10
Сбой в работе автоматического завершения обращений при публикации релиза,0
Странички home открываются неприемлемо долго,10
Не хватает прав доступа к документации,3
Дублирование нотификаци,10
Брендирование агентского интерфейса не выполняется.,10
Сбрасывается часовой пояс,10
Установка платформы - проблема с отображением картинок на портале.,10
В продолжение темы INC0005385 Дублирование пользователей после импорта из AD,10
Постоянная ошибка при сохранении изменений в Инциденте,1
Нет колонки добавленной через локальный пакет,10
Не срабатывает условие в тэге виджета <list> ,10
"Коллеги, наш клиент обнаружил дырищу в информационной безопасности - в системе вообще нет коробочных ACL на организации и сотрудников, что позволяет с клиентской стороны получать перс данные любых пользователей системы, включая токены сброса пароля! Мало того, что можно ошибиться в настройке и не зафиксировать где-то ссылочный определитель, так еще вдумчивый клиент просто убрал фильтр condition из запроса и получил вообще всех, кого хотел. Прошу устранить. ",10
Read Only виджет на отображается на портале после обновления,7
"В рамках создания инцидента и обращения на home.simpleone.ru возникла необходимость прикрепить скриншот. К своему сожалению, обнаружил, что возможность прикрепить снимок экрана, как раньше, через ctrl+v из буфера обмена отсутствует. ",10
Добрый день! После обновления до 1.15 изменился виджет добавления вложений. Теперь нет возможности сразу вставить изображение из буфера обмена во вложения? Обязательно его сохранить на компьютер?,7
"Стенд: demo
Ошибка импорта через JSON",1
" Нет доступных пунктов в разделе ""Портал самообслуживания SimpleOne""",10
Некорректный ответ сервера при попытке создания записи в справочнике через REST API,10
обновление dev базой продуктива привело к ошибке,7
Ошибка при работе с листом (в dictionary окне),0
